absent,assist,assist_rate,attack_efficient,attack_ws,attackrebound_rate,behindrebound,block,block_rate,bottom_hand,bottom_hit,bottom_hit_rate,bottom_part_rate,close_hand,close_hit,close_hit_rate,close_part_rate,defend_efficient,defend_ws,defendrebound_rate,dunk,fault,first,foul,foul_plus_one,foul_rate,frontrebound,hand,hand1,hand3,hand_distance,hit,hit1,hit3,lose,middle_hand,middle_hit,middle_hit_rate,middle_part_rate,name,penalty,per_value,real_hit,rebound,rebound_rate,remote_hand,remote_hit,remote_hit_rate,remote_part_rate,score,season,shoot,shoot3,shoot_efficient,steal,steal_rate,team,time,use_rate,win,ws
37,8.6,31.8%,115,3.8,8.5%,6.1,0.7,1.0%, , , , , , , , ,98,2.6,16.4%, ,3.9, ,2.7, ,17.2%,4.6,15.9,5.9,0.5, ,8.4,2.7,0.1, , , , , ,Magic Johnson,8.6,25.7,58.2%,76.0%,12.7%, , , , ,21.6,80-81,53.2%,17.6%,53.4%,3.4,4.3%,洛杉矶湖人,37.1,24.3%, ,6.4
34,4.4,30.3%,125,3.4,2.7%,3.0,0.4,1.1%,2.4,1.9,77.8%,28.4%,0.9,0.4,46.9%,11.2%,104,0.9,13.9%,5,1.9,7,1.6,7,16.3%,2.6,8.4,2.9,3.7,14.8,4.4,0.5,1.5,6,0.5,0.3,58.8%,6.0%,Manu Ginobili,3.4,24.1,66.8%,87.1%,8.4%,0.9,0.3,34.5%,10.2%,12.9,11-12,52.6%,41.3%,61.8%,0.7,1.6%,圣安东尼奥马刺,23.3,22.7%,28,4.2
80,4.9,26.4%,116,6.6,2.1%,5.1,0.4,0.8%,2.7,1.7,63.9%,21.5%,2.0,0.8,41.6%,15.8%,105,3.2,11.8%,13,2.2,79,2.0,33,12.7%,4.5,12.7,3.2,5.5,15.4,5.5,0.5,1.9,19,0.9,0.5,50.0%,7.1%,Manu Ginobili,3.7,21.7,58.1%,87.1%,7.1%,1.6,0.6,35.2%,12.3%,17.4,10-11,43.3%,34.9%,50.9%,1.5,2.6%,圣安东尼奥马刺,30.3,26.0%,61,9.9
76,1.6,8.8%,108,3.5,9.8%,3.9,1.2,2.8%,3.0,2.1,69.3%,19.7%,4.2,1.9,46.3%,27.2%,107,2.8,15.8%,86,1.7,76,3.2,29,8.9%,3.0,15.3,4.7,0.1,10.9,7.4,2.9,0.0,41,3.3,1.5,44.3%,21.8%,LaMarcus Aldridge,7.6,18.5,52.3%,76.2%,12.8%,4.7,1.9,40.3%,30.8%,17.8,07-08,48.4%,14.3%,48.4%,0.7,1.1%,波特兰开拓者,34.9,25.3%,35,6.2
63,0.4,3.2%,113,2.5,12.6%,1.8,1.2,4.2%,2.8,2.0,71.0%,36.7%,1.0,0.5,48.4%,12.9%,109,1.0,15.3%,52,0.7,22,3.0,13,7.5%,1.3,7.6,2.7,0.0,9.3,3.8,2.3,0.0,39,1.5,0.5,31.2%,19.4%,LaMarcus Aldridge,5.0,17.1,53.3%,72.2%,13.9%,2.3,0.9,39.0%,30.5%,9.0,06-07,50.3%,0.0%,50.3%,0.3,0.9%,波特兰开拓者,22.1,19.3%,24,3.4
82,9.1,35.6%,105,3.2,4.1%,2.5,0.3,0.6%, , , , , , , , ,101,4.8,14.7%, ,3.2,82,1.7, ,21.5%,2.0,10.5,4.9,2.8, ,4.4,1.3,0.9,26, , , , ,Jason Kidd,6.2,16.4,50.2%,79.9%,9.5%, , , , ,11.6,97-98,41.6%,31.3%,45.8%,2.0,2.7%,菲尼克斯太阳,38.0,17.6%,56,8.0
55,9.0,38.9%,108,2.3,3.8%,3.0,0.4,0.8%, , , , , , , , ,107,2.0,11.0%, ,2.6,45,2.1, ,19.1%,2.0,9.6,3.4,3.0, ,3.9,1.2,1.1,24, , , , ,Jason Kidd,4.5,16.9,49.8%,67.9%,7.4%, , , , ,10.9,96-97,40.3%,37.0%,46.0%,2.3,3.3%,总计,35.7,17.2%,31,4.4
81,1.9,8.5%,108,4.5,13.4%,8.9,3.5,5.7%, , , , , , , , ,100,6.0,27.1%, ,3.8,81,4.0, ,15.9%,5.3,16.1,9.6,0.0, ,9.0,4.2,0.0,40, , , , ,Shaquille O'Neal,13.9,22.9,58.4%,59.2%,20.6%, , , , ,23.4,92-93,56.2%,0.0%,56.2%,0.7,1.0%,奥兰多魔术,37.9,27.0%,41,10.4
80,2.7,12.7%,116,5.8,2.3%,2.7,0.2,0.4%,2.1,1.4,65.1%,17.3%,1.0,0.5,48.2%,8.5%,104,4.2,9.0%,14,1.5,80,1.8,19,9.8%,2.4,12.2,2.8,4.7,16.3,6.0,0.6,2.1,25,1.5,0.7,45.8%,12.1%,Ray Allen,3.4,16.4,61.5%,88.1%,5.8%,2.9,1.4,47.0%,23.5%,16.5,10-11,49.1%,44.4%,57.7%,1.0,1.4%,波士顿凯尔特人,36.1,19.8%,55,10.0
80,2.6,12.3%,115,5.1,2.0%,3.2,0.3,0.7%,2.7,1.8,67.9%,22.4%,1.0,0.4,41.0%,8.5%,108,2.9,8.8%,10,1.6,80,2.3,25,10.6%,2.9,12.2,2.6,5.0,15.8,5.8,0.6,1.8,30,1.0,0.6,56.1%,8.4%,Ray Allen,3.2,15.2,60.1%,91.3%,5.5%,2.4,1.1,47.6%,19.6%,16.3,09-10,47.7%,36.3%,55.1%,0.8,1.2%,波士顿凯尔特人,35.2,20.2%,50,7.9
