absent,assist,assist_rate,attack_efficient,attack_ws,attackrebound_rate,behindrebound,block,block_rate,bottom_hand,bottom_hit,bottom_hit_rate,bottom_part_rate,close_hand,close_hit,close_hit_rate,close_part_rate,defend_efficient,defend_ws,defendrebound_rate,dunk,fault,first,foul,foul_plus_one,foul_rate,frontrebound,hand,hand1,hand3,hand_distance,hit,hit1,hit3,lose,middle_hand,middle_hit,middle_hit_rate,middle_part_rate,name,penalty,per_value,real_hit,rebound,rebound_rate,remote_hand,remote_hit,remote_hit_rate,remote_part_rate,score,season,shoot,shoot3,shoot_efficient,steal,steal_rate,team,time,use_rate,win,ws
75,2.3,10.8%,119,8.8,7.7%,8.0,2.6,5.6%,7.3,5.4,74.4%,37.4%,3.9,1.9,48.3%,20.1%,102,4.9,24.8%,211,2.2,75,2.1,66,8.6%,6.6,19.5,8.6,2.2,9.2,10.4,2.5,0.7,30,3.1,1.3,42.8%,15.7%,Anthony Davis,11.1,28.9,61.2%,82.8%,16.5%,3.1,1.0,33.9%,15.7%,28.1,17-18,53.4%,34.0%,55.2%,1.5,2.0%,新奥尔良鹈鹕,36.4,30.0%,45,13.7
75,2.1,11.1%,112,5.9,6.7%,8.6,2.2,5.1%,5.8,4.1,70.6%,28.3%,4.7,2.1,45.4%,23.2%,102,5.1,27.9%,136,2.4,75,2.2,72,9.1%,6.9,20.3,9.5,1.8,10.6,10.3,2.3,0.5,44,3.4,1.6,46.7%,16.8%,Anthony Davis,11.8,27.5,58.0%,80.2%,17.2%,4.6,1.9,41.4%,22.8%,28.0,16-17,50.5%,29.9%,51.8%,1.3,1.7%,新奥尔良鹈鹕,36.1,32.6%,31,11.0
61,1.9,10.0%,110,4.4,6.4%,7.0,2.0,4.7%,5.6,3.9,69.7%,29.9%,3.6,1.4,39.6%,19.5%,104,2.8,26.4%,147,2.0,61,2.4,36,8.4%,5.3,18.6,8.1,1.8,10.3,9.2,2.1,0.6,37,3.1,1.3,42.0%,16.5%,Anthony Davis,10.3,25.0,55.9%,75.8%,16.1%,4.6,2.0,43.4%,24.6%,24.3,15-16,49.3%,32.4%,50.8%,1.3,1.8%,新奥尔良鹈鹕,35.4,29.6%,24,7.2
68,2.2,11.6%,122,9.9,8.0%,6.8,2.9,6.2%,6.2,4.6,73.4%,35.4%,3.0,1.3,43.3%,16.9%,100,4.2,24.1%,150,1.4,68,2.1,51,6.3%,5.5,17.6,7.7,0.2,9.5,9.4,2.5,0.0,29,3.1,1.4,45.1%,17.8%,Anthony Davis,10.2,30.8,59.1%,80.5%,16.1%,5.1,2.1,41.9%,28.9%,24.4,14-15,53.5%,8.3%,53.6%,1.5,2.1%,新奥尔良鹈鹕,36.2,27.8%,39,14.0
52,2.1,20.8%,102,0.5,3.3%,1.6,0.3,1.4%,1.1,0.7,63.8%,25.1%,0.6,0.3,53.3%,13.0%,102,1.1,18.2%,11,1.0,0,0.7,5,16.5%,1.1,4.4,2.5,0.6,13.5,1.9,0.4,0.3,21,0.4,0.1,30.4%,10.0%,Tracy McGrady,3.0,13.6,51.0%,67.5%,10.8%,1.7,0.5,29.9%,37.7%,5.3,11-12,43.7%,45.5%,47.0%,0.3,1.0%,亚特兰大老鹰,16.1,18.0%,31,1.6
9,2.3,17.7%,109,0.3,3.1%,4.2,1.0,3.6%,2.6,1.9,73.9%,20.7%,1.3,0.6,41.7%,10.8%,97,0.5,19.1%,2,1.8,9,1.0,2,11.1%,3.4,12.3,4.0,3.9,14.0,5.8,0.7,1.2,4,3.1,1.6,50.0%,25.2%,Kawhi Leonard,4.7,26.0,57.2%,81.6%,11.1%,1.4,0.6,38.5%,11.7%,16.2,17-18,46.8%,31.4%,51.8%,2.0,4.3%,圣安东尼奥马刺,23.4,30.6%,5,0.9
60,5.1,30.7%,118,6.3,1.9%,4.4,0.3,0.7%,4.0,2.6,64.9%,22.3%,2.9,1.2,43.6%,15.8%,106,2.7,10.8%,2,2.3,60,2.0,25,10.4%,3.9,18.1,3.2,6.8,14.5,8.9,0.6,2.8,19,2.4,1.1,47.9%,13.2%,Kyrie Irving,3.8,25.0,61.0%,88.9%,6.4%,2.0,1.1,54.9%,11.2%,24.4,17-18,49.1%,40.8%,56.8%,1.1,1.7%,波士顿凯尔特人,32.2,31.0%,41,8.9
67,1.6,8.0%,119,7.2,10.0%,6.6,2.8,6.7%,5.9,4.2,70.4%,39.6%,3.1,1.3,40.9%,20.7%,104,3.2,23.3%,146,1.6,66,3.0,43,8.3%,5.2,15.0,7.0,0.1,8.3,7.8,3.1,0.0,38,2.7,1.2,43.1%,18.0%,Anthony Davis,10.0,26.5,58.2%,79.1%,16.6%,3.1,1.1,36.8%,20.8%,20.8,13-14,51.9%,22.2%,52.0%,1.3,2.0%,新奥尔良鹈鹕,35.2,25.2%,29,10.4
64,1.0,6.1%,113,3.7,10.5%,3.5,1.8,5.1%,5.0,3.5,71.3%,46.9%,1.9,0.8,43.5%,18.3%,104,2.4,23.5%,129,1.4,60,2.5,31,10.3%,2.6,10.6,5.6,0.1,7.8,5.5,2.6,0.0,41,1.3,0.5,37.3%,12.3%,Anthony Davis,8.2,21.7,55.9%,75.1%,16.8%,2.3,0.6,26.0%,21.6%,13.5,12-13,51.6%,0.0%,51.6%,1.2,2.2%,新奥尔良鹈鹕,28.9,21.8%,23,6.1
72,3.5,23.6%,104,1.0,3.4%,1.8,0.5,1.6%,1.7,1.1,66.1%,24.1%,0.8,0.3,36.8%,11.1%,110,1.1,15.4%,22,1.4,39,1.4,15,15.2%,1.3,7.1,2.8,1.2,13.9,3.2,0.7,0.4,47,0.8,0.3,36.2%,11.3%,Tracy McGrady,3.5,14.9,50.3%,69.8%,9.1%,2.6,1.0,39.0%,36.4%,8.0,10-11,44.2%,34.1%,47.1%,0.9,2.1%,底特律活塞,23.4,18.6%,25,2.1
30,3.3,22.6%,98,0.0,3.7%,2.1,0.5,1.5%,1.8,1.0,56.4%,23.4%,0.6,0.2,38.9%,7.7%,112,0.3,12.4%,1,1.5,24,1.3,10,14.3%,1.6,7.8,2.4,2.1,15.3,3.0,0.7,0.5,20,0.6,0.2,31.6%,8.1%,Tracy McGrady,3.1,12.2,46.6%,74.6%,7.9%,2.6,1.0,39.2%,33.6%,8.2,09-10,38.7%,25.0%,42.1%,0.5,1.1%,总计,22.4,20.6%,10,0.3
81,1.3,7.1%,108,2.9,11.0%,7.2,1.6,4.4%,6.4,4.5,70.0%,56.6%,3.1,1.2,39.2%,28.0%,104,3.9,33.8%,174,2.6,81,3.1,63,15.1%,4.1,11.2,9.3,0.1,4.7,6.2,3.1,0.0,46,0.6,0.2,32.7%,5.4%,Dwight Howard,12.5,20.5,57.7%,57.4%,22.2%,1.0,0.3,33.3%,9.2%,16.6,17-18,55.5%,14.3%,55.6%,0.6,1.0%,夏洛特黄蜂,30.4,24.2%,35,6.8
74,3.5,18.9%,121,8.9,3.7%,7.2,0.7,1.8%,3.0,2.0,66.4%,17.2%,2.5,1.3,52.7%,14.3%,102,4.7,15.7%,67,2.1,74,1.6,46,9.1%,6.3,17.7,4.7,5.2,14.8,8.6,1.1,2.0,20,3.2,1.4,44.1%,18.0%,Kawhi Leonard,5.8,27.6,61.0%,88.0%,9.8%,3.7,1.8,49.3%,21.1%,25.5,16-17,48.5%,38.0%,54.1%,1.8,2.7%,圣安东尼奥马刺,33.5,31.1%,54,13.6
72,2.6,13.0%,121,8.3,4.7%,4.6,1.0,2.3%,3.1,2.3,73.0%,20.7%,2.2,1.1,47.2%,14.8%,96,5.5,18.4%,64,1.5,72,1.8,37,7.8%,4.1,15.1,5.5,4.0,13.3,7.7,1.3,1.8,12,3.0,1.5,49.8%,20.1%,Kawhi Leonard,6.8,26.0,61.6%,87.4%,11.8%,2.7,1.0,37.6%,17.8%,21.2,15-16,50.6%,44.3%,56.5%,1.8,2.8%,圣安东尼奥马刺,33.1,25.8%,60,13.7
72,5.8,29.7%,116,7.4,2.3%,4.6,0.3,0.8%,5.2,3.1,60.3%,26.4%,2.4,0.9,36.2%,12.3%,112,1.5,7.5%,2,2.5,72,2.2,39,10.3%,4.1,19.7,2.5,6.1,14.0,9.3,0.7,2.5,25,3.1,1.5,46.9%,15.9%,Kyrie Irving,3.2,23.0,58.0%,90.5%,5.0%,2.8,1.4,48.5%,14.4%,25.2,16-17,47.3%,40.1%,53.5%,1.2,1.6%,克里夫兰骑士,35.1,30.8%,47,8.9
53,4.7,26.6%,109,3.2,3.0%,3.6,0.3,0.9%,4.0,2.4,58.4%,24.3%,2.7,1.1,40.3%,16.4%,106,1.7,7.6%,1,2.3,53,2.0,19,11.4%,3.2,16.6,2.1,4.9,13.2,7.4,0.8,1.6,16,2.2,1.1,50.4%,13.1%,Kyrie Irving,3.0,19.9,54.0%,88.5%,5.3%,2.8,1.3,47.3%,16.6%,19.6,15-16,44.8%,32.1%,49.6%,1.1,1.7%,克里夫兰骑士,31.4,29.5%,37,5.0
73,2.5,11.2%,110,3.2,1.5%,1.3,0.5,1.1%,2.0,1.3,67.8%,12.1%,0.9,0.3,35.9%,5.4%,111,1.8,10.3%,11,1.8,73,1.6,6,9.5%,1.1,16.2,3.4,7.1,17.9,7.9,0.4,3.1,18,2.3,1.1,48.5%,14.0%,Klay Thompson,3.8,16.1,59.8%,83.7%,6.2%,3.9,2.0,50.7%,24.4%,20.0,17-18,48.8%,44.0%,58.5%,0.8,1.1%,金州勇士,34.3,23.7%,55,4.9
28,4.0,21.0%,103,0.5,2.1%,4.7,0.1,0.2%,2.2,1.1,47.6%,19.9%,1.3,0.4,27.8%,11.4%,114,0.2,8.7%,0,2.3,24,1.7,12,14.6%,3.7,11.3,2.3,0.9,13.2,4.9,0.6,0.3,18,2.2,0.9,41.3%,19.9%,Allen Iverson,2.8,13.4,51.5%,79.4%,5.4%,4.6,2.2,47.3%,40.8%,13.8,09-10,43.0%,36.0%,44.5%,0.7,1.2%,总计,30.9,23.0%,10,0.7
78,1.3,6.5%,104,1.2,2.9%,2.5,0.6,1.8%,1.8,1.0,57.1%,12.0%,0.9,0.3,32.9%,6.3%,109,2.5,17.7%,17,1.3,78,2.5,13,7.3%,1.9,15.0,4.9,6.1,17.1,6.1,0.9,2.2,32,2.8,1.3,45.6%,18.4%,Carmelo Anthony,5.8,12.7,50.3%,76.7%,10.0%,3.4,1.3,38.0%,22.8%,16.2,17-18,40.4%,35.7%,47.6%,0.6,0.9%,俄克拉荷马雷霆,32.1,23.2%,46,3.7
24,3.9,20.9%,101,0.0,0.0%,2.4,0.5,3.2%,0.8,0.2,20.0%,26.3%, , , ,0.0%,110,0.0,12.9%,0,1.8,24,1.6,0,4.4%,1.8,9.0,2.8,2.6,15.4,3.5,0.9,0.6,18,0.2,0.0,0.0%,5.3%,Tracy McGrady,3.7,12.4,43.9%,75.4%,6.2%,1.8,0.8,45.5%,57.9%,9.4,09-10,38.9%,24.2%,39.5%,0.6,0.0%,纽约尼克斯,26.1,21.8%,6,0.0
6,1.0,22.7%,98,-0.1,3.9%,1.0,0.3,1.4%,2.1,1.2,60.0%,23.1%,0.7,0.3,38.9%,8.3%,113,0.3,12.4%,1,0.2,0,0.3,10,15.1%,0.7,3.2,0.8,0.3,15.3,1.2,0.0,0.2,2,0.7,0.2,33.3%,8.3%,Tracy McGrady,0.8,12.2,46.9%,66.7%,8.1%,2.8,1.1,38.2%,31.5%,3.2,09-10,36.8%,50.0%,42.4%,0.0,1.2%,休斯顿火箭,7.7,20.5%,4,0.2
35,5.0,25.2%,105,0.9,2.1%,4.5,0.4,0.9%,3.1,1.5,49.5%,22.1%,0.9,0.4,40.6%,6.6%,104,1.8,12.7%,3,2.0,35,1.1,11,11.1%,3.6,13.9,3.8,3.3,15.4,5.4,0.6,1.3,15,1.2,0.5,39.5%,8.9%,Tracy McGrady,4.4,16.3,49.2%,80.1%,7.6%,5.3,1.7,32.8%,38.4%,15.6,08-09,38.8%,37.6%,43.3%,1.2,1.9%,休斯顿火箭,33.7,24.5%,20,2.7
74,1.4,7.8%,115,3.8,15.0%,5.7,1.2,3.6%,6.3,4.6,73.5%,75.7%,1.4,0.5,32.7%,17.5%,100,4.5,31.7%,199,2.3,74,2.7,38,17.5%,3.1,8.3,8.7,0.0,2.9,5.2,4.0,0.0,37,0.2,0.1,33.3%,2.9%,Dwight Howard,12.7,20.8,62.7%,53.3%,23.5%,0.3,0.1,26.1%,3.8%,13.5,16-17,63.3%,0.0%,63.3%,0.9,1.4%,亚特兰大老鹰,29.7,19.2%,37,8.3
71,1.4,7.0%,111,3.5,11.4%,6.7,1.6,4.1%,5.6,4.2,75.2%,65.8%,2.7,1.0,37.8%,32.2%,104,3.1,29.1%,176,2.3,71,3.1,49,17.0%,3.3,8.5,8.4,0.1,2.6,5.2,3.4,0.0,37,0.1,0.0,40.0%,0.8%,Dwight Howard,11.8,18.9,60.4%,48.9%,20.2%,0.0,0.0,0.0%,0.3%,13.7,15-16,62.0%,0.0%,62.0%,1.0,1.5%,休斯顿火箭,32.1,18.4%,34,6.6
41,1.2,7.3%,105,1.4,10.0%,6.6,1.3,3.4%,6.4,4.7,72.3%,62.4%,3.8,1.4,37.7%,36.4%,100,2.2,28.9%,104,2.8,41,3.3,29,17.5%,3.5,10.3,7.8,0.0,3.1,6.1,2.7,0.0,12,0.0,0.0,0.0%,0.2%,Dwight Howard,10.5,19.2,59.6%,52.8%,19.5%,0.1,0.0,50.0%,0.5%,15.8,14-15,59.3%,50.0%,59.5%,0.7,1.1%,休斯顿火箭,29.8,23.3%,29,3.6
64,2.5,13.0%,113,4.2,4.8%,3.9,0.8,1.8%,2.7,2.0,72.4%,21.2%,2.3,1.0,42.6%,18.0%,96,4.4,20.6%,49,1.5,64,2.0,26,9.4%,3.2,12.8,5.9,3.0,13.1,6.2,1.3,1.0,18,2.4,1.2,48.1%,18.7%,Kawhi Leonard,7.2,22.0,56.7%,80.2%,12.9%,2.4,1.0,41.6%,18.7%,16.5,14-15,47.9%,34.9%,52.0%,2.3,3.7%,圣安东尼奥马刺,31.7,23.0%,46,8.6
66,2.0,10.4%,116,3.8,4.6%,1.9,0.8,1.9%,3.0,2.1,69.4%,30.4%,1.4,0.7,50.5%,14.7%,98,3.9,18.9%,59,1.2,65,1.9,21,10.3%,1.5,9.8,5.1,2.8,12.5,5.1,1.2,1.0,12,1.2,0.5,46.8%,11.9%,Kawhi Leonard,6.2,19.4,60.2%,80.2%,12.1%,1.4,0.7,50.5%,14.7%,12.8,13-14,52.2%,37.9%,57.6%,1.7,3.0%,圣安东尼奥马刺,29.2,18.3%,54,7.7
75,5.2,25.0%,117,8.4,2.3%,4.9,0.3,0.6%,4.5,2.7,61.1%,27.3%,2.4,0.8,34.4%,14.8%,108,2.0,7.5%,4,2.5,75,1.9,35,11.8%,4.2,16.5,2.4,5.0,13.4,7.7,0.7,2.1,23,2.3,0.9,42.0%,13.7%,Kyrie Irving,3.2,21.5,58.3%,86.3%,5.0%,2.2,1.1,48.2%,13.6%,21.7,14-15,46.8%,41.5%,53.2%,1.5,2.2%,克里夫兰骑士,36.4,26.2%,52,10.4
71,6.1,31.6%,109,4.6,2.3%,4.8,0.3,0.8%,4.1,2.3,57.6%,23.4%,1.7,0.6,37.1%,10.0%,108,2.1,9.5%,2,2.7,71,2.3,36,12.1%,4.1,17.4,2.9,4.8,14.5,7.5,0.7,1.7,43,2.7,1.2,44.0%,15.4%,Kyrie Irving,3.6,20.1,53.3%,86.1%,5.8%,4.1,1.6,38.9%,23.3%,20.8,13-14,43.0%,35.8%,48.0%,1.5,2.2%,克里夫兰骑士,35.2,28.2%,28,6.7
78,2.1,9.3%,111,4.2,2.2%,2.8,0.5,1.2%,2.8,1.8,66.4%,15.6%,1.1,0.4,39.3%,6.1%,108,2.9,9.2%,5,1.6,78,1.8,17,8.0%,2.4,17.6,3.0,8.3,17.7,8.3,0.6,3.4,12,2.2,1.0,47.4%,12.4%,Klay Thompson,3.7,17.4,59.2%,85.3%,5.9%,3.3,1.5,46.2%,18.9%,22.3,16-17,46.8%,41.4%,56.5%,0.8,1.2%,金州勇士,33.9,26.1%,66,7.1
80,2.1,9.8%,112,5.5,1.5%,2.8,0.6,1.4%,3.2,2.2,68.7%,18.2%,1.4,0.5,33.6%,8.2%,107,2.6,10.3%,15,1.7,80,1.9,19,8.5%,2.4,17.3,3.4,8.1,16.5,8.1,0.4,3.5,9,2.3,1.0,42.3%,13.1%,Klay Thompson,3.8,18.6,59.7%,87.3%,6.2%,2.4,1.1,45.5%,13.8%,22.1,15-16,47.0%,42.5%,56.9%,0.8,1.1%,金州勇士,33.3,26.3%,71,8.0
25,4.1,28.0%,108,0.1,1.7%,4.8,0.1,0.0%,1.7,1.0,60.0%,19.2%,1.0,0.7,66.7%,11.5%,116,0.0,5.2%,0,2.3,24,1.7,0,18.3%,3.9,11.6,2.4,1.0,13.9,4.8,0.6,0.3,15,1.0,0.0,0.0%,11.5%,Allen Iverson,3.0,16.9,59.1%,82.4%,3.5%,4.7,3.0,64.3%,53.8%,13.9,09-10,41.7%,33.3%,59.6%,0.7,0.8%,费城76人,31.9,25.0%,10,0.1
3,3.7,20.4%,103,0.4,2.2%,4.0,0.0,0.2%,2.3,1.1,46.6%,20.0%,1.3,0.3,24.2%,11.4%,114,0.2,9.0%,0,2.3,0,1.7,12,14.3%,2.0,8.7,1.0,0.3,13.2,5.0,0.3,0.3,3,2.4,1.0,43.3%,20.7%,Allen Iverson,1.3,13.1,50.8%,50.0%,5.5%,4.6,2.1,45.2%,39.7%,12.3,09-10,57.7%,100.0%,43.1%,0.3,1.2%,孟菲斯灰熊,22.3,22.8%,0,0.6
74,2.9,14.5%,108,3.2,2.6%,4.9,0.5,1.1%,2.4,1.3,56.3%,12.7%,1.4,0.6,41.9%,7.6%,113,1.5,16.0%,12,2.1,74,2.7,30,9.0%,4.1,18.8,5.1,5.7,16.6,8.1,0.8,2.0,45,4.0,1.7,43.7%,21.1%,Carmelo Anthony,5.9,17.9,53.5%,83.3%,9.3%,5.3,2.4,45.7%,28.4%,22.4,16-17,43.3%,35.9%,48.8%,0.8,1.2%,纽约尼克斯,34.4,29.1%,29,4.7
72,4.2,21.9%,107,3.9,4.3%,5.6,0.5,1.1%,3.9,2.1,54.0%,21.3%,1.6,0.6,40.4%,8.7%,107,2.5,19.5%,19,2.4,72,2.5,25,10.6%,4.6,18.2,6.4,4.3,14.0,7.9,1.4,1.5,40,3.8,1.6,42.3%,20.8%,Carmelo Anthony,7.7,20.3,53.0%,82.9%,12.0%,4.6,2.1,45.3%,25.5%,21.8,15-16,43.4%,33.9%,47.4%,0.9,1.3%,纽约尼克斯,35.1,29.7%,32,6.4
66,5.9,29.6%,104,2.0,2.0%,5.4,0.5,0.9%,4.0,2.2,54.7%,20.3%,1.4,0.5,38.3%,7.2%,103,3.8,13.5%,43,2.4,62,1.4,31,9.8%,3.7,19.8,4.5,4.5,15.5,8.3,0.6,1.3,20,1.9,0.8,43.1%,9.4%,Tracy McGrady,5.1,18.4,48.7%,68.4%,7.8%,8.0,3.5,43.0%,40.6%,21.6,07-08,41.9%,29.2%,45.2%,1.0,1.5%,休斯顿火箭,37.0,30.4%,46,5.8
71,6.5,37.5%,106,4.1,2.6%,6.9,0.5,1.1%,4.2,2.4,57.0%,20.1%,1.3,0.5,36.7%,6.1%,100,4.5,14.5%,31,3.0,71,1.9,53,11.2%,4.9,20.8,4.5,5.4,16.0,9.0,0.8,1.8,21,1.6,0.6,37.8%,7.5%,Tracy McGrady,5.3,23.2,51.5%,70.7%,8.6%,8.4,3.8,44.5%,40.5%,24.6,06-07,43.1%,33.1%,47.4%,1.3,1.9%,休斯顿火箭,35.8,35.0%,50,8.6
47,4.8,28.8%,102,1.4,3.1%,7.2,0.9,1.9%,4.3,2.3,53.0%,20.0%,1.4,0.7,46.3%,6.6%,102,2.7,17.2%,28,2.6,47,1.9,31,9.4%,5.4,21.5,5.6,5.0,15.7,8.7,1.0,1.6,20,2.4,0.7,31.5%,11.0%,Tracy McGrady,6.5,21.9,49.4%,74.7%,10.3%,8.5,3.5,41.3%,39.3%,24.4,05-06,40.6%,31.2%,44.2%,1.3,1.8%,休斯顿火箭,37.1,35.0%,27,4.1
71,1.8,9.3%,109,4.0,11.4%,9.0,1.8,4.0%,6.5,4.8,73.5%,57.6%,4.4,1.8,40.8%,39.3%,101,4.1,27.9%,195,3.2,71,3.4,47,17.5%,4.9,11.3,8.9,0.1,3.5,6.7,3.3,0.0,23,0.2,0.0,18.8%,2.0%,Dwight Howard,12.2,21.3,60.0%,54.7%,20.1%,0.0,0.0,50.0%,0.3%,18.3,13-14,59.1%,28.6%,59.2%,0.8,1.2%,休斯顿火箭,33.7,24.0%,48,8.0
76,1.4,6.6%,105,2.8,10.4%,9.5,2.4,4.9%,6.4,4.4,70.0%,59.4%,3.8,1.6,42.4%,35.7%,100,4.8,27.4%,187,3.0,76,3.8,58,16.6%,4.7,10.7,9.1,0.1,3.7,6.2,3.3,0.0,34,0.3,0.1,25.0%,2.5%,Dwight Howard,12.4,19.4,57.3%,49.2%,19.1%,0.2,0.0,21.4%,1.7%,17.1,12-13,57.8%,16.7%,57.9%,1.1,1.6%,洛杉矶湖人,35.8,22.2%,42,7.6
54,1.9,9.8%,106,3.3,11.0%,10.6,2.1,4.4%,7.0,5.1,73.1%,51.7%,6.2,2.6,41.7%,45.9%,96,4.4,33.1%,137,3.2,54,2.9,58,15.2%,5.2,13.4,10.8,0.1,4.2,7.7,3.7,0.0,21,0.2,0.1,33.3%,1.2%,Dwight Howard,14.5,24.2,56.9%,49.1%,21.9%,0.0,0.0,0.0%,0.3%,20.6,11-12,57.3%,0.0%,57.3%,1.5,2.1%,奥兰多魔术,38.3,26.1%,33,7.7
58,1.6,7.7%,114,3.0,4.3%,2.2,0.6,1.3%,3.0,2.0,65.9%,32.9%,1.1,0.5,43.8%,12.2%,99,3.3,17.1%,47,1.1,57,1.7,6,9.6%,1.8,9.1,4.9,3.0,12.7,4.5,1.1,1.1,15,0.8,0.4,51.0%,9.3%,Kawhi Leonard,6.0,16.4,59.2%,82.5%,11.1%,1.1,0.5,42.4%,12.5%,11.9,12-13,49.4%,37.4%,55.6%,1.7,2.7%,圣安东尼奥马刺,31.2,16.4%,43,6.2
64,1.1,6.6%,119,3.1,7.9%,1.4,0.4,1.1%,2.3,1.6,69.8%,36.9%,1.1,0.4,39.4%,17.6%,101,2.4,16.4%,29,0.7,39,1.4,12,9.0%,1.1,6.3,3.5,1.7,11.1,3.1,1.6,0.6,15,0.6,0.2,32.4%,9.2%,Kawhi Leonard,5.1,16.6,57.3%,77.3%,12.2%,0.6,0.2,36.8%,9.4%,7.9,11-12,49.3%,37.6%,54.3%,1.3,2.9%,圣安东尼奥马刺,24.0,14.5%,49,5.5
59,5.9,32.7%,108,4.2,1.8%,4.9,0.4,0.8%,4.3,2.4,57.4%,23.5%,2.5,1.0,38.5%,13.8%,110,1.1,10.8%,4,3.2,59,2.5,32,13.8%,4.2,18.1,3.1,4.7,13.9,8.2,0.6,1.8,40,3.1,1.4,44.3%,17.3%,Kyrie Irving,3.7,21.4,55.3%,85.5%,6.1%,3.5,1.6,44.4%,19.3%,22.5,12-13,45.2%,39.1%,50.3%,1.5,2.3%,克里夫兰骑士,34.7,30.2%,19,5.3
51,5.4,36.5%,109,3.4,3.1%,3.8,0.4,1.0%,5.3,3.3,61.4%,36.4%,1.8,0.6,35.9%,12.3%,110,0.6,11.2%,3,3.1,51,2.2,18,16.1%,3.4,14.6,2.9,3.6,12.0,6.9,0.9,1.4,34,1.3,0.5,39.1%,9.2%,Kyrie Irving,3.7,21.4,56.6%,87.2%,7.0%,2.6,1.0,38.2%,17.5%,18.5,11-12,46.9%,39.9%,51.7%,1.1,1.8%,克里夫兰骑士,30.5,28.7%,17,4.1
77,2.9,14.6%,112,5.7,1.2%,3.3,0.8,1.8%,2.9,2.0,68.2%,17.2%,1.8,0.6,34.5%,10.7%,104,3.1,9.4%,21,1.9,77,1.6,20,9.5%,2.9,16.9,2.9,7.1,16.6,7.8,0.4,3.1,13,2.2,0.9,41.8%,13.1%,Klay Thompson,3.2,20.8,59.1%,87.9%,5.4%,2.9,1.2,41.4%,17.1%,21.7,14-15,46.3%,43.9%,55.5%,1.1,1.7%,金州勇士,31.9,27.6%,64,8.8
81,2.2,10.2%,108,3.5,1.5%,2.3,0.5,1.0%,2.1,1.3,64.1%,13.5%,1.4,0.5,37.8%,8.8%,106,3.2,7.9%,11,1.7,81,2.9,13,9.2%,1.8,15.5,2.6,6.6,17.2,6.9,0.5,2.8,30,2.3,0.9,37.6%,15.0%,Klay Thompson,3.1,14.3,55.5%,79.5%,4.7%,3.1,1.4,44.9%,20.2%,18.4,13-14,44.4%,41.7%,53.3%,0.9,1.3%,金州勇士,35.4,22.6%,51,6.7
57,5.0,23.1%,103,0.9,1.7%,6.1,0.1,0.2%,4.2,2.2,51.7%,29.0%,1.1,0.5,41.3%,7.6%,109,1.9,8.2%,0,2.6,53,1.5,25,12.9%,4.8,14.6,2.5,1.7,12.4,6.1,0.5,0.5,32,2.4,1.0,41.7%,16.7%,Allen Iverson,3.0,15.8,50.4%,78.1%,4.9%,5.1,1.9,38.1%,34.9%,17.5,08-09,41.7%,28.3%,43.4%,1.5,2.3%,总计,36.7,25.7%,25,2.9
40,3.1,18.0%,106,2.2,5.7%,5.9,0.4,1.0%,4.5,2.6,58.4%,22.1%,1.8,0.7,41.7%,8.9%,110,0.6,16.0%,15,2.2,40,2.2,23,8.9%,4.7,20.2,4.8,4.5,14.4,9.0,1.8,1.5,30,3.7,1.5,41.2%,18.4%,Carmelo Anthony,6.6,21.5,53.1%,79.7%,10.7%,5.7,2.5,44.5%,28.4%,24.2,14-15,44.4%,34.1%,48.2%,1.0,1.5%,纽约尼克斯,35.8,32.2%,10,2.9
77,3.1,15.8%,113,8.1,5.6%,7.0,0.7,1.5%,4.1,2.4,58.9%,19.1%,1.7,0.5,32.0%,7.8%,108,2.5,19.4%,34,2.6,77,2.9,41,9.5%,6.0,21.3,6.2,5.4,15.2,9.6,1.9,2.2,42,4.2,1.9,44.3%,19.9%,Carmelo Anthony,8.1,24.4,56.1%,84.8%,12.3%,6.0,2.7,44.7%,27.9%,27.4,13-14,45.2%,40.2%,50.3%,1.2,1.7%,纽约尼克斯,38.7,32.4%,35,10.7
78,5.7,28.6%,109,6.5,2.7%,7.1,0.7,1.3%,4.8,2.7,57.2%,22.5%,1.4,0.5,36.4%,6.6%,101,5.4,14.8%,62,2.6,78,2.1,53,9.5%,5.5,21.3,5.3,5.6,15.5,9.2,0.9,1.8,29,1.7,0.7,38.5%,8.1%,Tracy McGrady,6.2,22.9,52.6%,77.4%,8.9%,7.8,3.4,44.1%,36.5%,25.7,04-05,43.1%,32.6%,47.3%,1.7,2.3%,休斯顿火箭,40.8,31.2%,49,12.0
67,5.5,28.3%,110,8.1,3.9%,7.5,0.6,1.1%,4.5,2.6,58.0%,19.2%,1.0,0.3,30.3%,4.2%,110,0.4,13.3%,53,2.7,67,1.9,42,9.1%,5.9,23.4,4.6,7.7,16.8,9.7,1.4,2.6,48,1.7,0.7,40.0%,7.3%,Tracy McGrady,6.0,25.3,52.6%,79.6%,8.5%,8.5,3.6,41.8%,36.5%,28.0,03-04,41.7%,33.9%,47.3%,1.4,1.8%,奥兰多魔术,39.9,33.2%,19,8.4
